function,value
F1,66818.08200207492
F1,52562.68439522251
F1,44038.69539294233
F1,39357.820725609
F1,37063.76338331763
F1,36099.602137165115
F1,35579.43743592133
F1,35225.737384650274
F1,35125.67541850075
F1,35082.512309820566
F2,22684403805.149147
F2,21.24523300534348
F2,21.24523300534348
F2,21.24523300534348
F2,21.24523300534348
F2,21.24523300534348
F2,21.24523300534348
F2,21.24523300534348
F2,21.24523300534348
F2,21.24523300534348
F3,97465.69800280967
F3,75097.14317903684
F3,64573.895492511554
F3,61320.85593506995
F3,61320.85593506995
F3,61320.85593506995
F3,61320.85593506995
F3,61320.85593506995
F3,61320.85593506995
F3,61320.85593506995
F4,84.68756465615618
F4,77.19040108757788
F4,72.38613659335482
F4,70.46970511771957
F4,68.21253922714949
F4,68.15924758860542
F4,68.14464206476457
F4,68.13168934707623
F4,68.11991046335599
F4,68.07709102532691
F5,270230744.0957522
F5,42565130.02229599
F5,6855194.428306017
F5,3682518.4482252807
F5,3682518.4482252807
F5,3682518.4482252807
F5,3682518.4482252807
F5,3682518.4482252807
F5,3682518.4482252807
F5,3682518.4482252807
F6,63295.0
F6,49553.0
F6,42241.0
F6,38505.0
F6,36807.0
F6,35853.0
F6,35589.0
F6,35443.0
F6,35352.0
F6,35253.0
F7,55.115200041756104
F7,55.115200041756104
F7,55.115200041756104
F7,55.115200041756104
F7,55.115200041756104
F7,55.115200041756104
F7,55.115200041756104
F7,55.115200041756104
F7,55.115200041756104
F7,55.115200041756104
F8,-1889.3116442808666
F8,-2215.6954739449216
F8,-2426.6448646788513
F8,-2603.692568083634
F8,-2685.9693746917205
F8,-2714.690932677135
F8,-2737.196524957798
F8,-2750.7408498004834
F8,-2763.2403380198457
F8,-2765.418121557761
F9,435.1963147771299
F9,435.1963147771299
F9,435.1963147771299
F9,435.1963147771299
F9,435.1963147771299
F9,435.1963147771299
F9,435.1963147771299
F9,435.1963147771299
F9,435.1963147771299
F9,435.1963147771299
F10,20.593505781210816
F10,18.725449583656225
F10,15.286059689584999
F10,12.888909945979833
F10,12.65207078840458
F10,12.65207078840458
F10,12.65207078840458
F10,12.65207078840458
F10,12.65207078840458
F10,12.65207078840458
F11,623.8667064532132
F11,600.3011044461317
F11,585.3012234430538
F11,577.5168677314209
F11,572.7898261519016
F11,570.9006453943625
F11,569.833932390024
F11,569.0981873807601
F11,568.7057457993819
F11,568.548209029685
F12,535149909.07941836
F12,104300280.52349474
F12,18409948.19275416
F12,8066947.176010494
F12,5868898.834706629
F12,5351444.880226133
F12,5037050.610685029
F12,4826749.607293605
F12,4754287.965545024
F12,4727513.6970647955
F13,691229988.3337334
F13,216502118.58646232
F13,85312864.64526887
F13,40992053.25384146
F13,30880172.05934341
F13,28615378.31913605
F13,27329440.951762535
F13,27022535.080735866
F13,26820825.484618396
F13,26695429.36033242
F14,150.25450117520055
F14,85.73876228775019
F14,72.42148643015503
F14,12.93273287883367
F14,12.683037740034399
F14,12.671057010386612
F14,12.671057010386612
F14,12.671057010386612
F14,12.671057010386612
F14,12.671057010386612
F15,0.17039200574276925
F15,0.17039200574276925
F15,0.0940499103251581
F15,0.0940499103251581
F15,0.0940499103251581
F15,0.0940499103251581
F15,0.0940499103251581
F15,0.0940499103251581
F15,0.0940499103251581
F15,0.0940499103251581
F16,0.170956811142706
F16,0.170956811142706
F16,0.170956811142706
F16,0.170956811142706
F16,0.170956811142706
F16,0.170956811142706
F16,0.170956811142706
F16,0.170956811142706
F16,0.170956811142706
F16,0.170956811142706
F17,0.8617826983269037
F17,0.8617826983269037
F17,0.8617826983269037
F17,0.8617826983269037
F17,0.8617826983269037
F17,0.8617826983269037
F17,0.8617826983269037
F17,0.8617826983269037
F17,0.8617826983269037
F17,0.8617826983269037
F18,14.98761923276268
F18,14.98761923276268
F18,14.98761923276268
F18,14.98761923276268
F18,14.98761923276268
F18,14.98761923276268
F18,14.98761923276268
F18,14.98761923276268
F18,14.98761923276268
F18,14.98761923276268
F19,-0.12100686959229119
F19,-0.12100686959229119
F19,-0.12100686959229119
F19,-0.12100686959229119
F19,-0.12100686959229119
F19,-0.12100686959229119
F19,-0.12100686959229119
F19,-0.12100686959229119
F19,-0.12100686959229119
F19,-0.12100686959229119
F20,-1.9705073506793878
F20,-1.9705073506793878
F20,-1.9705073506793878
F20,-1.9705073506793878
F20,-1.9705073506793878
F20,-1.9705073506793878
F20,-1.9705073506793878
F20,-1.9705073506793878
F20,-1.9705073506793878
F20,-1.9705073506793878
F21,-0.32740649071993466
F21,-0.33392225988389584
F21,-0.3408435871289407
F21,-0.34996807801422114
F21,-0.3655563604570355
F21,-0.3791103578433995
F21,-0.3892606406784619
F21,-0.39466021697810383
F21,-0.39717097109182753
F21,-0.3977026373832302
F22,-1.6043278491975148
F22,-1.6043278491975148
F22,-1.6043278491975148
F22,-1.6043278491975148
F22,-1.6043278491975148
F22,-1.6043278491975148
F22,-1.6043278491975148
F22,-1.6043278491975148
F22,-1.6043278491975148
F22,-1.6043278491975148
F23,-0.8140782384218496
F23,-0.8140782384218496
F23,-0.8140782384218496
F23,-0.8140782384218496
F23,-0.8140782384218496
F23,-0.8140782384218496
F23,-0.8140782384218496
F23,-0.8140782384218496
F23,-0.8140782384218496
F23,-0.8140782384218496
